Date,Time_Index,Month,DayOfWeek,Predicted_Sales,YearMonth
2024-12-11,1486,12,2,1399608.0,2024-12
2024-12-12,1487,12,3,1478456.0,2024-12
2024-12-13,1488,12,4,1939448.0,2024-12
2024-12-14,1489,12,5,1960784.0,2024-12
2024-12-15,1490,12,6,2064720.0,2024-12
2024-12-16,1491,12,0,1512560.0,2024-12
2024-12-17,1492,12,1,1187984.0,2024-12
2024-12-18,1493,12,2,1399608.0,2024-12
2024-12-19,1494,12,3,1478456.0,2024-12
2024-12-20,1495,12,4,1939448.0,2024-12
2024-12-21,1496,12,5,1960784.0,2024-12
2024-12-22,1497,12,6,2064720.0,2024-12
2024-12-23,1498,12,0,1512560.0,2024-12
2024-12-24,1499,12,1,1187984.0,2024-12
2024-12-25,1500,12,2,1399608.0,2024-12
2024-12-26,1501,12,3,1478456.0,2024-12
2024-12-27,1502,12,4,1939448.0,2024-12
2024-12-28,1503,12,5,1960784.0,2024-12
2024-12-29,1504,12,6,2064720.0,2024-12
2024-12-30,1505,12,0,1512560.0,2024-12
2024-12-31,1506,12,1,1187984.0,2024-12
2025-01-01,1507,1,2,3499608.0,2025-01
2025-01-02,1508,1,3,3427256.0,2025-01
2025-01-03,1509,1,4,3393432.0,2025-01
2025-01-04,1510,1,5,3243800.0,2025-01
2025-01-05,1511,1,6,3477096.0,2025-01
2025-01-06,1512,1,0,3720696.0,2025-01
2025-01-07,1513,1,1,3431568.0,2025-01
2025-01-08,1514,1,2,3499608.0,2025-01
2025-01-09,1515,1,3,3427256.0,2025-01
2025-01-10,1516,1,4,3393432.0,2025-01
2025-01-11,1517,1,5,3243800.0,2025-01
2025-01-12,1518,1,6,3477096.0,2025-01
2025-01-13,1519,1,0,3720696.0,2025-01
2025-01-14,1520,1,1,3431568.0,2025-01
2025-01-15,1521,1,2,3499608.0,2025-01
2025-01-16,1522,1,3,3427256.0,2025-01
2025-01-17,1523,1,4,3393432.0,2025-01
2025-01-18,1524,1,5,3243800.0,2025-01
2025-01-19,1525,1,6,3477096.0,2025-01
2025-01-20,1526,1,0,3720696.0,2025-01
2025-01-21,1527,1,1,3431568.0,2025-01
2025-01-22,1528,1,2,3499608.0,2025-01
2025-01-23,1529,1,3,3427256.0,2025-01
2025-01-24,1530,1,4,3393432.0,2025-01
2025-01-25,1531,1,5,3243800.0,2025-01
2025-01-26,1532,1,6,3477096.0,2025-01
2025-01-27,1533,1,0,3720696.0,2025-01
2025-01-28,1534,1,1,3431568.0,2025-01
2025-01-29,1535,1,2,3499608.0,2025-01
2025-01-30,1536,1,3,3427256.0,2025-01
2025-01-31,1537,1,4,3393432.0,2025-01
2025-02-01,1538,2,5,3243800.0,2025-02
2025-02-02,1539,2,6,3477096.0,2025-02
2025-02-03,1540,2,0,3720696.0,2025-02
2025-02-04,1541,2,1,3431568.0,2025-02
2025-02-05,1542,2,2,3499608.0,2025-02
2025-02-06,1543,2,3,3427256.0,2025-02
2025-02-07,1544,2,4,3393432.0,2025-02
2025-02-08,1545,2,5,3243800.0,2025-02
2025-02-09,1546,2,6,3477096.0,2025-02
2025-02-10,1547,2,0,3720696.0,2025-02
2025-02-11,1548,2,1,3431568.0,2025-02
2025-02-12,1549,2,2,3499608.0,2025-02
2025-02-13,1550,2,3,3427256.0,2025-02
2025-02-14,1551,2,4,3393432.0,2025-02
2025-02-15,1552,2,5,3243800.0,2025-02
2025-02-16,1553,2,6,3477096.0,2025-02
2025-02-17,1554,2,0,3720696.0,2025-02
2025-02-18,1555,2,1,3431568.0,2025-02
2025-02-19,1556,2,2,3499608.0,2025-02
2025-02-20,1557,2,3,3427256.0,2025-02
2025-02-21,1558,2,4,3393432.0,2025-02
2025-02-22,1559,2,5,3243800.0,2025-02
2025-02-23,1560,2,6,3477096.0,2025-02
2025-02-24,1561,2,0,3720696.0,2025-02
2025-02-25,1562,2,1,3431568.0,2025-02
2025-02-26,1563,2,2,3499608.0,2025-02
2025-02-27,1564,2,3,3427256.0,2025-02
2025-02-28,1565,2,4,3393432.0,2025-02
2025-03-01,1566,3,5,3243800.0,2025-03
2025-03-02,1567,3,6,3477096.0,2025-03
2025-03-03,1568,3,0,3720696.0,2025-03
2025-03-04,1569,3,1,3431568.0,2025-03
2025-03-05,1570,3,2,3499608.0,2025-03
2025-03-06,1571,3,3,3427256.0,2025-03
2025-03-07,1572,3,4,3393432.0,2025-03
2025-03-08,1573,3,5,3243800.0,2025-03
2025-03-09,1574,3,6,3477096.0,2025-03
2025-03-10,1575,3,0,3720696.0,2025-03
